,id,title,year,journal.id,journal.title
0,pub.1049824427,Diagnostic evaluation of numerical air quality models with specialized ambient observations: testing the Community Multiscale Air Quality modeling system (CMAQ) at selected SOS 95 ground sites,2003,jour.1132096,Atmospheric Environment
0,pub.1029917196,Airborne measurements of boundary layer chemistry during the Southern Oxidant Study: A case study,1997,jour.1312079,Journal of Geophysical Research
0,pub.1030518239,Formation mechanisms and chemical characteristics of elevated photochemical layers over the northeast United States,1998,jour.1312079,Journal of Geophysical Research
0,pub.1027043469,High contribution of biogenic hydroperoxides to secondary organic aerosol formation,2004,jour.1126650,Geophysical Research Letters
0,pub.1063452020,CLIMATOLOGY OF THE LOW LEVEL JET,1968,jour.1136879,Monthly Weather Review
0,pub.1037712834,The Airshed for Ozone and Fine Particulate Pollution in the Eastern United States,2003,jour.1136817,Pure and Applied Geophysics
0,pub.1007236393,Ozone concentration jump in the stable nocturnal boundary layer during a LLJ-event,1997,jour.1132096,Atmospheric Environment
0,pub.1055497977,Contributions of Organic Peroxides to Secondary Aerosol Formed from Reactions of Monoterpenes with O3,2005,jour.1012116,Environmental Science and Technology
0,pub.1006778628,Understanding the production and interconversion of the hydroxyl radical during the Tropospheric OH Photochemistry Experiment,1997,jour.1312079,Journal of Geophysical Research
0,pub.1054983647,Laser photoacoustic detection of nitrogen dioxide in the gas-phase titration of nitric oxide with ozone,1982,jour.1345331,Analytical Chemistry
0,pub.1042113907,Model Evaluation and Spatial Interpolation by Bayesian Combination of Observations with Outputs from Numerical Models,2005,jour.1017077,Biometrics
0,pub.1036644346,"Natural emissions of non-methane volatile organic compounds, carbon monoxide, and oxides of nitrogen from North America",2000,jour.1132096,Atmospheric Environment
0,pub.1015874396,Seasonal transition from NOx‐ to hydrocarbon‐limited conditions for ozone production over the eastern United States in September,1995,jour.1312079,Journal of Geophysical Research
0,pub.1020339963,Chemistry of HOx radicals in the upper troposphere,2001,jour.1132096,Atmospheric Environment
0,pub.1026930343,"Hydrocarbon source signatures in Houston, Texas: Influence of the petrochemical industry",2004,jour.1312079,Journal of Geophysical Research
0,pub.1036833349,Simulating the Formation of Secondary Organic Aerosol from the Photooxidation of Toluene,2004,jour.1327432,Environmental Chemistry
0,pub.1002736209,Seasonal modeling of regional ozone pollution in the eastern United States,2000,jour.1126650,Geophysical Research Letters
0,pub.1008992069,Comparison of Chemiluminescence and Ultraviolet Ozone Monitor Responses in the Presence of Humidity and Photochemical Pollutants,1993,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1043717554,Potential Interference Bias in Ozone Standard Compliance Monitoring,2005,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1108737135,Rethinking the Ozone Problem in Urban and Regional Air Pollution,1991,,
0,pub.1035070414,The effect on human eye blink frequency of exposure to limonene oxidation products and methacrolein,2005,jour.1087073,Toxicology Letters
0,pub.1006151053,"Methods for gas-phase measurements of ozone, ozone precursors and aerosol precursors",2000,jour.1132096,Atmospheric Environment
0,pub.1009774649,The dependence of the concentration of OH on its precursors under moderately polluted conditions: A model study,1993,jour.1127423,Journal of Atmospheric Chemistry
0,pub.1002200961,Summertime Characteristics of the Atmospheric Boundary Layer and Relationships to Ozone Levels over the Eastern United States,2003,jour.1136817,Pure and Applied Geophysics
0,pub.1013829573,Emissions lifetimes and ozone formation in power plant plumes,1998,jour.1312079,Journal of Geophysical Research
0,pub.1003947965,H2O2 and O3 in the atmosphere of Los Angeles and its vicinity: Factors controlling their formation and their role as oxidants of SO2,1989,jour.1312079,Journal of Geophysical Research
0,pub.1026900719,Eastern North American transport climatology during high- and low-ozone days,2001,jour.1132096,Atmospheric Environment
0,pub.1055871428,Atmospheric Chemistry and Physics: From Air Pollution to Climate Change By John H. Seinfeld (California Institute of Technology) and Spyros N. Pandis (Carnegie Mellon University). Wiley-VCH: New York. 1997. $89.95. xxvii + 1326 pp. ISBN 0-471-17815-2.,1998,jour.1081898,Journal of the American Chemical Society
0,pub.1042405361,Turbulent Mixing within Tropopause Folds as a Mechanism for the Exchange of Chemical Constituents between the Stratosphere and Troposphere,1980,jour.1136924,Journal of the Atmospheric Sciences
0,pub.1053180730,Some theoretical results concerning O3‐NOx‐VOC chemistry and NOx‐VOC indicators,2002,jour.1312079,Journal of Geophysical Research
0,pub.1085275795,"The Use of Photochemical Indicators to Evaluate Ozone-NOx-Hydrocarbon Sensitivity: Case Studies from Atlanta, New York, and Los Angeles",1997,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1003886964,"Airborne Characterization of the Chemical, Optical, and Meteorological Properties, and Origins of a Combined Ozone-Haze Episode over the Eastern United States",2004,jour.1136924,Journal of the Atmospheric Sciences
0,pub.1010152801,Correlation of ozone with NOy in photochemically aged air,1993,jour.1312079,Journal of Geophysical Research
0,pub.1030058225,Introduction to Special Section: Photochemistry Experiment in BERLIOZ,2003,jour.1312079,Journal of Geophysical Research
0,pub.1047779956,Potential reactions among indoor pollutants,1997,jour.1132096,Atmospheric Environment
0,pub.1041229898,The Influence of Ventilation on Reactions Among Indoor Pollutants: Modeling and Experimental Observations,2000,jour.1106184,Indoor Air
0,pub.1055485723,"Indoor chemistry: ozone, volatile organic compounds, and carpets",1992,jour.1012116,Environmental Science and Technology
0,pub.1064737424,Formation of strong airway irritants in mixtures of isoprene/ozone and isoprene/ozone/nitrogen dioxide.,2001,jour.1031925,Environmental Health Perspectives
0,pub.1002871925,Nonlinear chemical couplings in the tropospheric NOx-HOx gas phase chemistry,1993,jour.1127423,Journal of Atmospheric Chemistry
0,pub.1030648462,Background Ozone in the Planetary Boundary Layer Over the United States,1996,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1051832916,Global modeling of tropospheric chemistry with assimilated meteorology: Model description and evaluation,2001,jour.1312079,Journal of Geophysical Research
0,pub.1055522427,"A New, Portable, Real-Time Ozone Monitor",2000,jour.1012116,Environmental Science and Technology
0,pub.1027347622,Personal and Fixed-Site Ozone Measurements with a Passive Sampler,1995,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1053334903,Ozone personal exposures and health effects for selected groups residing in the Fraser Valley,1997,jour.1132096,Atmospheric Environment
0,pub.1035533844,"A population exposure model for particulate matter: case study results for PM2.5 in Philadelphia, PA",2001,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1009322914,Effects of Ambient Ozone Exposure on Mail Carriers’ Peak Expiratory Flow Rates,2005,jour.1031925,Environmental Health Perspectives
0,pub.1034407132,"Hourly Personal Exposures to Fine Particles and Gaseous Pollutants—Results from Baltimore, Maryland",2000,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1040153336,Meteorological controls on ozone at an elevated eastern United States regional background monitoring site,2000,jour.1312079,Journal of Geophysical Research
0,pub.1042566713,Daily asthma severity in relation to personal ozone exposure and outdoor fungal spores.,1996,jour.1017031,American Journal of Respiratory and Critical Care Medicine
0,pub.1034059884,Measurements and numerical simulations of indoor O3 and NOx in two different cases,1998,jour.1132096,Atmospheric Environment
0,pub.1012109528,Simulation of ozone intrusion caused by a tropopause fold and cut-off low,1991,jour.1312763,Atmospheric Environment Part A General Topics
0,pub.1055495161,Ozone-Initiated Reactions with Mixtures of Volatile Organic Compounds under Simulated Indoor Conditions,2003,jour.1012116,Environmental Science and Technology
0,pub.1045591474,Formation of oxidation products in a ventilation system,2004,jour.1132096,Atmospheric Environment
0,pub.1023437719,"Background ozone over the United States in summer: Origin, trend, and contribution to pollution episodes",2002,jour.1312079,Journal of Geophysical Research
0,pub.1037295060,Modeling Relationships between Indoor and Outdoor Air Quality,2000,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1036592205,Analysis of 1970–1995 trends in tropospheric ozone at Northern Hemisphere midlatitudes with the GEOS‐CHEM model,2003,jour.1312079,Journal of Geophysical Research
0,pub.1055518303,Development and Evaluation of a Small Active Ozone Sampler,1997,jour.1012116,Environmental Science and Technology
0,pub.1026023974,Initial field evaluation of the Harvard active ozone sampler for personal ozone monitoring,1999,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1064737006,The Harvard Southern California Chronic Ozone Exposure Study: assessing ozone exposure of grade-school-age children in two Southern California communities.,2000,jour.1031925,Environmental Health Perspectives
0,pub.1082992635,Comparison of outdoor and classroom ozone exposures for school children in Mexico City.,1996,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1047721086,"Impact of Asian emissions on observations at Trinidad Head, California, during ITCT 2K2",2004,jour.1312079,Journal of Geophysical Research
0,pub.1031238307,Validation of a questionnaire and microenvironmental model for estimating past exposures to ozone,2003,jour.1101264,International Journal of Environmental Health Research
0,pub.1018804364,Ambient PAN and PPN in southern California from 1960 to the SCOS97-NARSTO,2003,jour.1132096,Atmospheric Environment
0,pub.1051703239,"Seasonal variation of the ozone production efficiency per unit NOx at Harvard Forest, Massachusetts",1996,jour.1312079,Journal of Geophysical Research
0,pub.1017351605,Export of reactive nitrogen from North America during summertime: Sensitivity to hydrocarbon chemistry,1998,jour.1312079,Journal of Geophysical Research
0,pub.1042854154,The Effect of Opening Windows on Air Change Rates in Two Homes,2002,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1010815212,Ozone production in transpacific Asian pollution plumes and implications for ozone air quality in California,2004,jour.1312079,Journal of Geophysical Research
0,pub.1039274883,Increasing background ozone during spring on the west coast of North America,2003,jour.1126650,Geophysical Research Letters
0,pub.1083006816,Recent advances in the estimation of population exposure to mobile source pollutants.,1995,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1013083259,"Determining the frequency of open windows in residences: a pilot study in Durham, North Carolina during varying temperature conditions",2004,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1009488678,A pilot study using scripted ventilation conditions to identify key factors affecting indoor pollutant concentration and air exchange rate in a residence,2004,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1139201920,An Introduction to the Indirect Exposure Assessment Approach: Modeling Human Exposure Using Microenvironmental Measurements and the Recent National Human Activity Pattern Survey,1999,jour.1031925,Environmental Health Perspectives
0,pub.1052457306,The National Human Activity Pattern Survey (NHAPS): a resource for assessing exposure to environmental pollutants,2001,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1055486215,Development and evaluation of a glass honeycomb denuder/filter pack system to collect atmospheric gases and particles,1993,jour.1012116,Environmental Science and Technology
0,pub.1020142349,Role of Concentration and Time of Day in Developing Ozone Exposure Indices for a Secondary Standard,1999,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1000902335,Hydrogen peroxide and organic hydroperoxide in the troposphere: a review,2000,jour.1132096,Atmospheric Environment
0,pub.1064737606,"Nitrous acid, nitrogen dioxide, and ozone concentrations in residential environments.",2002,jour.1031925,Environmental Health Perspectives
0,pub.1039832273,"Outdoor/Indoor/Personal Ozone Exposures of Children in Nashville, Tennessee",2004,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1050487551,Establishing standards to protect vegetation—ozone exposure/dose considerations,1987,jour.1312009,Atmospheric Environment (1967)
0,pub.1028843052,Present‐day variability of background ozone in the lower troposphere,2001,jour.1312079,Journal of Geophysical Research
0,pub.1018656817,Spatio-temporal characterization of tropospheric ozone across the eastern United States,2004,jour.1132096,Atmospheric Environment
0,pub.1007202462,Measurement of Indoor Air Emissions from Dry-Process Photocopy Machines,1996,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1058362440,Evaluation of a Test Method for Measuring Indoor Air Emissions from Dry-Process Photocopiers,1998,jour.1056253,Journal of the Air & Waste Management Association
